Position,Team,Points
1,India,119
2,Australia,112
3,Pakistan,110
4,South Africa,109
5,New Zealand,105
6,England,99
7,Sri Lanka,92
8,Bangladesh,89
9,Afghanistan,83
10,Netherlands,39
