sn,Winner,Team 1 Position,Team 2 Position,Team 1_Afghanistan,Team 1_Australia,Team 1_Bangladesh,Team 1_England,Team 1_India,Team 1_Netherlands,Team 1_New Zealand,Team 1_Pakistan,Team 1_South Africa,Team 1_Sri Lanka,Team 2_Afghanistan,Team 2_Australia,Team 2_Bangladesh,Team 2_England,Team 2_India,Team 2_Netherlands,Team 2_New Zealand,Team 2_Pakistan,Team 2_South Africa,Team 2_Sri Lanka
375,no result,9,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
376,Australia,9,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
377,South Africa,9,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
378,South Africa,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
379,South Africa,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
380,South Africa,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
381,New Zealand,6,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
382,England,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
383,Australia,6,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
384,England,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
385,New Zealand,6,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
386,New Zealand,6,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
387,New Zealand,6,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
388,India,9,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
389,Australia,9,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
390,Australia,9,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
391,Australia,9,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
392,Australia,9,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
393,New Zealand,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
394,no result,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
395,Sri Lanka,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
396,New Zealand,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
397,New Zealand,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
398,England,5,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
399,England,5,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
400,England,5,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
401,Pakistan,5,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
402,South Africa,10,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
403,India,10,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
404,South Africa,10,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
405,India,10,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
406,South Africa,10,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
407,Australia,5,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
408,England,5,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
409,England,5,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
410,Australia,5,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
411,Australia,5,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
412,South Africa,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
413,New Zealand,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
414,South Africa,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
415,Sri Lanka,4,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
416,Pakistan,4,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
417,Pakistan,4,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
418,Sri Lanka,4,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
419,Bangladesh,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
420,Bangladesh,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
421,Pakistan,4,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
422,South Africa,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
423,India,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
424,Bangladesh,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
425,England,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
426,Bangladesh,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
427,England,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
428,New Zealand,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
429,New Zealand,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
430,England,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
431,Bangladesh,3,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
432,Bangladesh,3,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
433,Bangladesh,3,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
434,Australia,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
435,Australia,9,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
436,New Zealand,6,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
437,Australia,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
438,India,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
439,South Africa,7,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
440,New Zealand,6,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
441,England,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
442,Bangladesh,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
443,Australia,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
444,New Zealand,6,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
445,Pakistan,8,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
446,Australia,9,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
447,Sri Lanka,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
448,New Zealand,6,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
449,Sri Lanka,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
450,India,10,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
451,Sri Lanka,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
452,New Zealand,6,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
453,Bangladesh,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
454,India,10,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
455,Australia,9,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
456,New Zealand,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
457,New Zealand,6,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
458,Australia,9,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
459,New Zealand,6,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
460,England,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
461,Sri Lanka,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
