date,name,team,average,strike_rate,economy,wickets
10-10-2023,Mustafizur Rahman,Bangladesh,28,42,4,0
10-10-2023,Taskin Ahmed,Bangladesh,32,37,5.189189189,1
10-10-2023,Shoriful Islam,Bangladesh,17,20,5.1,3
10-10-2023,Mahedi Hasan,Bangladesh,0,0,0,4
10-10-2023,Shakib Al Hasan,Bangladesh,10,16,3.75,1
10-10-2023,Mehedi Hasan Miraz,Bangladesh,8.333333333,18.33333333,2.727272727,0
10-10-2023,CR Woakes,England,0,0,7.5,2
10-10-2023,RJW Topley,England,0,0,0,4
10-10-2023,SM Curran,England,47,38,7.421052632,1
10-10-2023,MA Wood,England,0,0,10.64516129,1
10-10-2023,AU Rashid,England,0,0,6.857142857,1
10-10-2023,LS Livingstone,England,0,0,9.333333333,1
10-10-2023,Shaheen Shah Afridi,Pakistan,37,44,5.045454545,1
10-10-2023,Hasan Ali,Pakistan,16.5,23,4.304347826,4
10-10-2023,Mohammad Nawaz,Pakistan,15.5,21,4.428571429,1
10-10-2023,Haris Rauf,Pakistan,14.33333333,18.66666667,4.607142857,2
10-10-2023,Shadab Khan,Pakistan,45,49,5.510204082,1
10-10-2023,Iftikhar Ahmed,Pakistan,16,18,5.333333333,0
10-10-2023,M Theekshana,Sri Lanka,0,0,0,1
10-10-2023,D Madushanka,Sri Lanka,43,32,8.0625,2
10-10-2023,MD Shanaka,Sri Lanka,0,0,6,0
10-10-2023,M Pathirana,Sri Lanka,96,65,8.861538462,1
10-10-2023,DN Wellalage,Sri Lanka,81,62,7.838709677,0
10-10-2023,DM de Silva,Sri Lanka,0,0,9.36,0
10-10-2023,KIC Asalanka,Sri Lanka,0,0,0,0
11-10-2023,JJ Bumrah,India,18,32,3.375,4
11-10-2023,Mohammed Siraj,India,26,41,3.804878049,0
11-10-2023,HH Pandya,India,28,18,9.333333333,2
11-10-2023,SN Thakur,India,0,0,0,1
11-10-2023,Kuldeep Yadav,India,21,30,4.2,1
11-10-2023,RA Jadeja,India,11,20,3.3,0
11-10-2023,Fazalhaq Farooqi,Afghanistan,10,16,3.75,0
11-10-2023,Mujeeb Ur Rahman,Afghanistan,0,0,4.571428571,0
11-10-2023,Naveen-ul-Haq,Afghanistan,31,36,5.166666667,0
11-10-2023,Azmatullah Omarzai,Afghanistan,9,12,4.5,0
11-10-2023,Mohammad Nabi,Afghanistan,0,0,2.918918919,0
11-10-2023,Rashid Khan,Afghanistan,0,0,5.333333333,2
12-10-2023,MA Starc,Australia,32,51,3.764705882,2
12-10-2023,JR Hazlewood,Australia,12.66666667,18.33333333,4.145454545,1
12-10-2023,GJ Maxwell,Australia,0,0,4.125,2
12-10-2023,PJ Cummins,Australia,0,0,5.1,1
12-10-2023,A Zampa,Australia,0,0,6.625,1
12-10-2023,MR Marsh,Australia,0,0,0,0
12-10-2023,MP Stoinis,Australia,0,0,0,0
12-10-2023,L Ngidi,South Africa,52,50,6.24,1
12-10-2023,M Jansen,South Africa,46.5,31.5,8.857142857,2
12-10-2023,K Rabada,South Africa,25.5,25,6.12,3
12-10-2023,KA Maharaj,South Africa,31,31,6,2
12-10-2023,T Shamsi,South Africa,0,0,0,2
13-10-2023,TA Boult,New Zealand,41,55,4.442288391,2
